year,totals,births,deaths,immigrants,emigrants
1749,1764724,59483,49516,,
1750,1780678,64511,47622,,
1751,1802132,69291,46902,,
1752,1816703,64973,49467,,
1753,1837869,66007,43905,,
1754,1857047,68759,48645,,
1755,1875029,70008,51090,,
1756,1889424,67987,52062,,
1757,1892990,61675,56579,,
1758,1893444,63262,61277,,
1759,1905866,63865,49912,,
1760,1925248,68384,47471,,
1761,1942257,67324,49893,,
1762,1949359,68268,60744,,
1763,1952238,68231,64180,,
1764,1966190,67988,53364,,
1765,1976824,65872,54566,,
1766,1992142,67061,49726,,
1767,2009596,70744,51272,,
1768,2020546,67719,54751,,
1769,2030491,66954,54991,,
1770,2042574,67172,53071,,
1771,2050680,65988,56827,,
1772,2032235,58972,76362,,
1773,1977205,51164,105139,,
1774,2000208,68520,44463,,
1775,2020847,71642,49949,,
1776,2041289,66869,45692,,
1777,2057147,67693,51096,,
1778,2073296,71901,55028,,
1779,2089624,76387,59325,,
1780,2118281,75122,45731,,
1781,2132912,71130,54313,,
1782,2140986,68488,58247,,
1783,2143570,64969,60213,,
1784,2145213,67605,63792,,
1785,2149773,67497,60770,,
1786,2163415,70935,55951,,
1787,2178403,68328,51998,,
1788,2192760,74019,58320,,
1789,2188962,70127,72583,,
1790,2187732,66710,66598,,
1791,2202319,71613,55946,,
1792,2229343,81063,52958,,
1793,2250919,77033,54376,,
1794,2272890,76429,53377,,
1795,2281137,72947,63619,,
1796,2300793,79446,56474,,
1797,2322814,80374,55036,,
1798,2344228,78593,53862,,
1799,2356993,75274,59192,,
1800,2347303,67555,73928,,
1801,2354952,70629,61317,,
1802,2372216,74963,56035,,
1803,2388619,74644,56577,,
1804,2403814,76443,59584,,
1805,2422039,76552,56663,,
1806,2428734,74581,66728,,
1807,2439599,75842,63818,,
1808,2427592,73963,84811,,
1809,2394101,64300,96532,,
1810,2396351,78916,75607,,
1811,2411382,84862,69246,,
1812,2418780,81079,73095,,
1813,2423949,72021,66266,,
1814,2438241,75837,60959,,
1815,2465066,85239,57829,,
1816,2497484,87644,56225,,
1817,2521442,83821,60863,,
1818,2546411,85714,61745,,
1819,2561780,84250,69881,,
1820,2584690,84841,62930,,
1821,2610870,92072,66416,,
1822,2646314,94309,59390,,
1823,2689031,98259,56067,,
1824,2726877,93577,56256,,
1825,2771252,100315,56465,,
1826,2804926,97125,63027,,
1827,2827719,88138,64920,,
1828,2846788,95354,75860,,
1829,2863132,99488,82719,,
1830,2888082,94626,69251,,
1831,2901039,88253,75274,,
1832,2922801,89862,68078,,
1833,2959141,100309,63947,,
1834,2983055,100231,76294,,
1835,3025439,98144,55738,,
1836,3059356,96857,60763,,
1837,3076184,94616,75611,,
1838,3090262,90565,74309,,
1839,3106459,91363,72988,,
1840,3138887,98160,63555,,
1841,3173160,95734,61279,,
1842,3206776,100976,67177,,
1843,3236632,99154,69115,,
1844,3275133,104693,66009,,
1845,3316536,103660,62074,,
1846,3342927,99703,72683,,
1847,3362072,99179,79405,,
1848,3397454,102524,66513,,
1849,3441286,112304,67842,,
1850,3482541,110399,68514,,
1851,3516647,111065,72506,,1102
1852,3540409,108305,80090,,3314
1853,3563316,111407,84047,,2998
1854,3608124,120107,70846,,4243
1855,3641011,115072,77734,,1087
1856,3672988,115082,79618,,1130
1857,3687601,119349,101491,,1831
1858,3734240,129039,80498,,571
1859,3787735,131605,75720,,276
1860,3859728,133162,67502,,348
1861,3917339,126634,71829,,2286
1862,3965899,131584,84350,,2535
1863,4022564,134279,77227,,3127
1864,4070061,136004,81937,,5177
1865,4114141,134281,79216,,6691
1866,4160677,136989,82666,,7206
1867,4195681,128832,82072,,9334
1868,4173080,114955,87807,,27024
1869,4158757,117677,92775,,39064
1870,4168525,119838,82449,,20003
1871,4204177,127333,72046,,17450
1872,4250412,126983,68802,,15915
1873,4297972,131643,73525,,13580
1874,4341559,133249,87760,,7791
1875,4383291,135958,88439,2805,9727
1876,4429713,135890,86334,3212,9418
1877,4484542,138476,83175,3288,7610
1878,4531863,134464,81418,2841,9032
1879,4578901,139043,77152,2592,17637
1880,4565668,134262,82753,3009,42109
1881,4572245,132804,80800,2957,45992
1882,4579115,134300,79406,3567,50178
1883,4603595,132875,79487,4153,31605
1884,4644448,138745,81077,4911,23560
1885,4682769,137308,82781,5792,23493
1886,4717189,139882,78045,5224,32889
1887,4734901,140169,76227,4642,50786
1888,4748257,136451,75831,4821,50323
1889,4774409,132069,76124,5504,33363
1890,4784981,133597,81824,6030,34212
1891,4802751,135516,80603,6114,42776
1892,4806865,129622,85894,6511,45504
1893,4824150,131729,81027,7377,40869
1894,4873183,131409,79444,10425,13358
1895,4919260,134599,74368,8528,18955
1896,4962568,134308,77259,7807,19551
1897,5009632,132999,76558,7861,14559
1898,5062918,136523,75949,7974,13663
1899,5097402,133882,89678,8196,16876
1900,5136441,138139,86146,8017,20661
1901,5175228,139370,82772,7621,24616
1902,5198752,137364,79722,6784,37107
1903,5221291,133896,78610,7623,39525
1904,5260811,134952,80152,9262,22384
1905,5294885,135409,82443,8609,24046
1906,5337055,136620,76366,9581,24704
1907,5377713,136793,78149,8913,22978
1908,5429600,138874,80568,9818,12499
1909,5476441,139505,74538,8071,21992
1910,5522403,135625,77212,8142,27816
1911,5561799,132977,76462,7752,19997
1912,5604192,132868,79241,8296,18117
1913,5638583,130200,76724,8407,20346
1914,5679607,129458,78311,8636,12960
1915,5712740,122997,83587,6357,7512
1916,5757566,121679,77771,6713,10571
1917,5800847,120855,77385,5811,6440
1918,5813850,117955,104591,4932,4853
1919,5847037,115193,84289,7809,7337
1920,5904489,138753,78128,10841,10242
1921,5954316,127723,73536,8551,8950
1922,5987520,116946,76343,6303,11797
1923,6005759,113435,68424,5827,29238
1924,6036118,109055,72001,5942,10671
1925,6053562,106292,70918,5053,11948
1926,6074368,102007,71344,5388,13043
1927,6087923,97994,77219,5678,12847
1928,6105190,97868,73267,5608,13450
1929,6120080,92861,74538,6336,11019
1930,6142191,94220,71790,7515,5682
1931,6162446,91074,77121,8390,2971
1932,6190364,89779,71459,8990,2117
1933,6211566,85020,69607,7256,2417
1934,6233090,85092,69921,5707,2400
1935,6250506,85906,72813,5412,2454
1936,6266888,88938,74836,4679,2371
1937,6284722,90373,75392,4470,2289
1938,6310214,93946,72693,5756,2062
1939,6341303,97380,72876,7178,3580
1940,6371432,95778,72748,6784,3102
1941,6406474,99727,71910,4254,1101
1942,6458200,113961,63741,3053,940
1943,6522827,125392,66105,6249,687
1944,6597348,134991,72284,13340,549
1945,6673749,135373,71901,21126,8261
1946,6763685,132597,70635,31422,6915
1947,6842046,128779,73579,31399,6451
1948,6924888,126683,67693,32935,9784
1949,6986181,121272,69537,23997,14174
1950,7041829,115414,70296,27940,12860
1951,7098740,110168,69799,31603,16580
1952,7150606,110192,68270,26259,14998
1953,7192316,110144,69553,19175,17480
1954,7234664,105096,69030,20817,13822
1955,7290112,107305,68634,30069,12675
1956,7338991,107960,70205,28029,14737
1957,7388611,107168,73132,33023,15071
1958,7429675,105502,71065,22097,14247
1959,7462823,104743,70889,19089,15607
1960,7497967,102219,75093,26143,15138
1961,7542028,104501,73555,29619,15019
1962,7581148,107284,76791,25084,14928
1963,7627507,112903,76460,26950,15340
1964,7695200,122664,76661,38334,15705
1965,7772506,122806,78194,49586,15977
1966,7843088,123354,78440,46970,19730
1967,7892774,121360,79783,29983,19979
1968,7931193,113087,82476,35978,23162
1969,8004270,107622,83352,64503,20360
1970,8081229,110150,80026,77326,28653
1971,8115165,114484,82717,42615,39560
1972,8129129,112273,84056,29894,41579
1973,8144428,109663,85640,29443,40342
1974,8176691,109874,86316,37430,28352
1975,8208442,103632,88208,44133,27249
1976,8236179,98345,90677,45492,25522
1977,8267116,96057,88202,44005,21078
1978,8284437,93248,89681,36187,22168
1979,8303010,96255,91074,37025,23467
1980,8317937,97064,91800,39426,29839
1981,8323033,94065,92034,32272,29440
1982,8327484,92748,90671,30381,28381
1983,8330573,91780,90791,27495,25269
1984,8342621,93889,90483,31486,22825
1985,8358139,98463,94032,33127,22036
1986,8381515,101950,93295,39487,24495
1987,8414083,104699,93307,42666,20673
1988,8458888,112080,96743,51092,21461
1989,8527036,116023,92110,65866,21484
1990,8590630,123938,95161,60048,25196
1991,8644119,123737,95202,49731,24745
1992,8692013,122848,94710,45348,25726
1993,8745109,117998,97008,61872,29874
1994,8816381,112257,91844,83598,32661
1995,8837496,103422,93955,45887,33984
1996,8844499,95297,94133,39895,33884
1997,8847625,90502,93326,44818,38543
1998,8854322,89028,93271,49391,38518
1999,8861426,88173,94726,49839,35705
2000,8882792,90441,93461,58659,34091
2001,8909128,91466,93752,60795,32141
2002,8940788,95815,95009,64087,33009
2003,8975670,99157,92961,63795,35023
2004,9011392,100928,90532,62028,36586
2005,9047752,101346,91710,65229,38118
2006,9113257,105913,91177,95750,44908
2007,9182927,107421,91729,99485,45418
2008,9256347,109301,91449,101171,45294
2009,9340682,111801,90080,102280,39240
2010,9415570,115641,90487,98801,48853
2011,9482855,111770,89938,96467,51179
2012,9555893,113177,91938,103059,51747
2013,9644864,113593,90402,115845,50715
2014,9747355,114907,88976,126966,51237
2015,9851017,114870,90907,134240,55830
